id,生词:string,HSK级别:string,备注:string
1,喂,一级,叹词
2,爱,一级,
3,八,一级,
4,爸爸,一级,
5,杯子,一级,
6,北京,一级,
7,本,一级,
8,不,一级,
9,不客气,一级,
10,菜,一级,
11,茶,一级,
12,吃,一级,
13,出租车,一级,
14,打电话,一级,
15,大,一级,
16,的,一级,
17,点,一级,
18,电脑,一级,
19,电视,一级,
20,电影,一级,
21,东西,一级,
22,都,一级,
23,读,一级,
24,对不起,一级,
25,多,一级,
26,多少,一级,
27,儿子,一级,
28,二,一级,
29,饭店,一级,
30,飞机,一级,
31,分钟,一级,
32,高兴,一级,
33,个,一级,
34,工作,一级,
35,狗,一级,
36,汉语,一级,
37,好,一级,
38,号,一级,
39,喝,一级,
40,和,一级,
41,很,一级,
42,后面,一级,
43,回,一级,
44,会,一级,
45,几,一级,
46,家,一级,
47,叫,一级,
48,今天,一级,
49,九,一级,
50,开,一级,
51,看,一级,
52,看见,一级,
53,块,一级,
54,来,一级,
55,老师,一级,
56,了,一级,
57,冷,一级,
58,里,一级,
59,六,一级,
60,妈妈,一级,
61,吗,一级,
62,买,一级,
63,猫,一级,
64,没关系,一级,
65,没有,一级,
66,米饭,一级,
67,名字,一级,
68,明天,一级,
69,哪,一级,
70,哪儿,一级,
71,那,一级,
72,呢,一级,
73,能,一级,
74,你,一级,
75,年,一级,
76,女儿,一级,
77,朋友,一级,
78,漂亮,一级,
79,苹果,一级,
80,七,一级,
81,前面,一级,
82,钱,一级,
83,请,一级,
84,去,一级,
85,热,一级,
86,人,一级,
87,认识,一级,
88,三,一级,
89,商店,一级,
90,上,一级,
91,上午,一级,
92,少,一级,
93,谁,一级,
94,什么,一级,
95,十,一级,
96,时候,一级,
97,是,一级,
98,书,一级,
99,水,一级,
100,水果,一级,
101,睡觉,一级,
102,说,一级,
103,四,一级,
104,岁,一级,
105,他,一级,
106,她,一级,
107,太,一级,
108,天气,一级,
109,听,一级,
110,同学,一级,
111,我,一级,
112,我们,一级,
113,五,一级,
114,喜欢,一级,
115,下,一级,
116,下午,一级,
117,下雨,一级,
118,先生,一级,
119,现在,一级,
120,想,一级,
121,小,一级,
122,小姐,一级,
123,些,一级,
124,写,一级,
125,谢谢,一级,
126,星期,一级,
127,学生,一级,
128,学习,一级,
129,学校,一级,
130,一,一级,
131,一点儿,一级,
132,衣服,一级,
133,医生,一级,
134,医院,一级,
135,椅子,一级,
136,有,一级,
137,月,一级,
138,再见,一级,
139,在,一级,
140,怎么,一级,
141,怎么样,一级,
142,这,一级,
143,中国,一级,
144,中午,一级,
145,住,一级,
146,桌子,一级,
147,字,一级,
148,昨天,一级,
149,坐,一级,
150,做,一级,
151,哎,五级,
152,唉,五级,
153,爱护,五级,
154,爱惜,五级,
155,爱心,五级,
156,安慰,五级,
157,安装,五级,
158,岸,五级,
159,暗,五级,
160,熬夜,五级,
161,把握,五级,
162,摆,五级,
163,办理,五级,
164,傍晚,五级,
165,包裹,五级,
166,包含,五级,
167,包括,五级,
168,薄,五级,
169,宝贝,五级,
170,宝贵,五级,
171,保持,五级,
172,保存,五级,
173,保留,五级,
174,保险,五级,
175,报到,五级,
176,报道,五级,
177,报告,五级,
178,报社,五级,
179,抱怨,五级,
180,背,五级,
181,悲观,五级,
182,背景,五级,
183,被子,五级,
184,本科,五级,
185,本领,五级,
186,本质,五级,
187,比例,五级,
188,彼此,五级,
189,必然,五级,
190,必要,五级,
191,毕竟,五级,
192,避免,五级,
193,编辑,五级,
194,鞭炮,五级,
195,便,五级,
196,辩论,五级,
197,标点,五级,
198,标志,五级,
199,表达,五级,
200,表面,五级,
201,表明,五级,
202,表情,五级,
203,表现,五级,
204,冰激凌,五级,
205,病毒,五级,
206,玻璃,五级,
207,播放,五级,
208,脖子,五级,
209,博物馆,五级,
210,补充,五级,
211,不安,五级,
212,不得了,五级,
213,不断,五级,
214,不见得,五级,
215,不耐烦,五级,
216,不然,五级,
217,不如,五级,
218,不要紧,五级,
219,不足,五级,
220,布,五级,
221,步骤,五级,
222,部门,五级,
223,财产,五级,
224,采访,五级,
225,采取,五级,
226,彩虹,五级,
227,踩,五级,
228,参考,五级,
229,参与,五级,
230,惭愧,五级,
231,操场,五级,
232,操心,五级,
233,册,五级,
234,测验,五级,
235,曾经,五级,
236,叉子,五级,
237,差距,五级,
238,插,五级,
239,拆,五级,
240,产品,五级,
241,产生,五级,
242,长途,五级,
243,常识,五级,
244,抄,五级,
245,超级,五级,
246,朝,五级,
247,潮湿,五级,
248,吵,五级,
249,吵架,五级,
250,炒,五级,
251,车库,五级,
252,车厢,五级,
253,彻底,五级,
254,沉默,五级,
255,趁,五级,
256,称,五级,
257,称呼,五级,
258,称赞,五级,
259,成分,五级,
260,成果,五级,
261,成就,五级,
262,成立,五级,
263,成人,五级,
264,成熟,五级,
265,成语,五级,
266,成长,五级,
267,诚恳,五级,
268,承担,五级,
269,承认,五级,
270,承受,五级,
271,程度,五级,
272,程序,五级,
273,吃亏,五级,
274,池塘,五级,
275,迟早,五级,
276,持续,五级,
277,尺子,五级,
278,翅膀,五级,
279,冲,五级,
280,充电器,五级,
281,充分,五级,
282,充满,五级,
283,重复,五级,
284,宠物,五级,
285,抽屉,五级,
286,抽象,五级,
287,丑,五级,
288,臭,五级,
289,出版,五级,
290,出口,五级,
291,出色,五级,
292,出示,五级,
293,出席,五级,
294,初级,五级,
295,除非,五级,
296,除夕,五级,
297,处理,五级,
298,传播,五级,
299,传染,五级,
300,传说,五级,
301,传统,五级,
302,窗帘,五级,
303,闯,五级,
304,创造,五级,
305,吹,五级,
306,词汇,五级,
307,辞职,五级,
308,此外,五级,
309,次要,五级,
310,刺激,五级,
311,匆忙,五级,
312,从此,五级,
313,从而,五级,
314,从前,五级,
315,从事,五级,
316,粗糙,五级,
317,促进,五级,
318,促使,五级,
319,醋,五级,
320,催,五级,
321,存在,五级,
322,措施,五级,
323,答应,五级,
324,达到,五级,
325,打工,五级,
326,打交道,五级,
327,打喷嚏,五级,
328,打听,五级,
329,大方,五级,
330,大厦,五级,
331,大象,五级,
332,大型,五级,
333,呆,五级,
334,代表,五级,
335,代替,五级,
336,贷款,五级,
337,待遇,五级,
338,担任,五级,
339,单纯,五级,
340,单调,五级,
341,单独,五级,
342,单位,五级,
343,单元,五级,
344,耽误,五级,
345,胆小鬼,五级,
346,淡,五级,
347,当地,五级,
348,当心,五级,
349,挡,五级,
350,导演,五级,
351,导致,五级,
352,岛屿,五级,
353,倒霉,五级,
354,到达,五级,
355,道德,五级,
356,道理,五级,
357,登记,五级,
358,等待,五级,
359,等于,五级,
360,滴,五级,
361,的确,五级,
362,敌人,五级,
363,地道,五级,
364,地理,五级,
365,地区,五级,
366,地毯,五级,
367,地位,五级,
368,地震,五级,
369,递,五级,
370,点心,五级,
371,电池,五级,
372,电台,五级,
373,钓,五级,
374,顶,五级,
375,动画片,五级,
376,冻,五级,
377,洞,五级,
378,豆腐,五级,
379,逗,五级,
380,独立,五级,
381,独特,五级,
382,度过,五级,
383,断,五级,
384,堆,五级,
385,对比,五级,
386,对待,五级,
387,对方,五级,
388,对手,五级,
389,对象,五级,
390,兑换,五级,
391,吨,五级,
392,蹲,五级,
393,顿,五级,
394,多亏,五级,
395,多余,五级,
396,朵,五级,
397,躲藏,五级,
398,恶劣,五级,
399,耳环,五级,
400,发表,五级,
401,发愁,五级,
402,发达,五级,
403,发抖,五级,
404,发挥,五级,
405,发明,五级,
406,发票,五级,
407,发言,五级,
408,罚款,五级,
409,法院,五级,
410,翻,五级,
411,繁荣,五级,
412,反而,五级,
413,反复,五级,
414,反应,五级,
415,反映,五级,
416,反正,五级,
417,范围,五级,
418,方,五级,
419,方案,五级,
420,方式,五级,
421,妨碍,五级,
422,仿佛,五级,
423,非,五级,
424,肥皂,五级,
425,废话,五级,
426,分别,五级,
427,分布,五级,
428,分配,五级,
429,分手,五级,
430,分析,五级,
431,纷纷,五级,
432,奋斗,五级,
433,风格,五级,
434,风景,五级,
435,风俗,五级,
436,风险,五级,
437,疯狂,五级,
438,讽刺,五级,
439,否定,五级,
440,否认,五级,
441,扶,五级,
442,服装,五级,
443,幅,五级,
444,辅导,五级,
445,妇女,五级,
446,复制,五级,
447,改革,五级,
448,改进,五级,
449,改善,五级,
450,改正,五级,
451,盖,五级,
452,概括,五级,
453,概念,五级,
454,干脆,五级,
455,干燥,五级,
456,赶紧,五级,
457,赶快,五级,
458,感激,五级,
459,感受,五级,
460,感想,五级,
